NOM_ENT,NOM_MUN,POBR_CAR_PROM,VUL_CAR_PROM,VUL_ING_POR,CAR_SALUD_PROM,CAR_SEG_SOC_PROM
Chihuahua,Guerrero,2.1784453528,1.8466422511,5.985354835,2.9007203201,2.1132377912
Chihuahua,Hidalgo del Parral,1.6366047452,1.3990123058,16.2946905513,2.3722166213,1.645558715
Chihuahua,Huejotitán,1.5629748981,1.3728862263,1.2347066167,2.6595744681,1.4931921331
Chihuahua,Ignacio Zaragoza,1.497899334,1.3638322693,5.6723086007,2.2915360502,1.4595613434
Chihuahua,Janos,1.8860702263,1.7769541422,2.5088940057,2.8446555497,1.8736496515
Chihuahua,Jiménez,1.6827512647,1.5492773801,12.4602177862,2.5652183452,1.715223809
Chihuahua,Juárez,1.8965279104,1.6033647441,12.0348715758,2.3580592514,1.9831423857
Chihuahua,Julimes,1.503235035,1.3373458936,3.7506177924,2.5351351351,1.4389770152
Chihuahua,López,1.6460721866,1.2975456529,2.6780438105,2.5753424658,1.4075018208
Chihuahua,Madera,1.893170037,1.6617039328,11.1408958738,2.6340385873,1.9146633837
Chihuahua,Maguarichi,2.7086168033,2.0196570876,2.1050521251,4.5961538462,2.5978161965
Chihuahua,Manuel Benavides,1.6010315538,1.4550297612,1.5672727273,2.768115942,1.5248917749
Chihuahua,Matachí,1.788300019,1.5802812153,2.868993994,2.3435582822,1.720826354
Chihuahua,Matamoros,1.5420903565,1.4023821533,8.1533994677,2.5211267606,1.5493150685
Chihuahua,Meoqui,1.8800545484,1.6783233239,12.5899943836,2.5077632275,1.9859519156
Chihuahua,Morelos,3.2139225393,2.8606611757,4.0663799283,4.0874291115,3.4869713798
Chihuahua,Moris,2.2434212759,1.886953597,0.7666130145,2.7963659148,2.1465288818
Chihuahua,Namiquipa,1.8337310089,1.6571375435,1.8451221053,2.4776540306,1.7676555212
Chihuahua,Nonoava,2.5972471548,1.6496623683,0.9069423929,3.9201520913,2.141673932
Chihuahua,Nuevo Casas Grandes,1.8339970527,1.6557128475,12.645049616,2.3955423547,1.9311217262
Chihuahua,Ocampo,2.3502821938,1.9145200894,3.0936904913,2.9100323625,2.2520131772
Chihuahua,Ojinaga,1.5697223595,1.4351602527,5.7931763715,2.2066772095,1.5413501618
Chihuahua,Praxedis G. Guerrero,1.7950929946,1.5850440255,1.8219596659,2.380952381,1.7474023647
Chihuahua,Riva Palacio,1.6502914732,1.5223775413,0.9122481442,2.447761194,1.5858778626
Chihuahua,Rosales,1.6720624877,1.5479405016,11.8174000333,2.4084566531,1.7292074348
Chihuahua,Rosario,1.6744492295,1.4829780715,3.843185149,2.3987915408,1.6325811001
Chihuahua,San Francisco de Borja,2.0889291126,1.4640930004,1.3336479471,3.347826087,1.7237866986
